50088 3
-6.40619598 12.06470053 5.53591182
-6.56811342 -16.02087279 8.50613621
1.35571499 -5.53944840 0.66543482
2.38531100 -8.55711012 1.58366161
1.39510417 11.46237472 3.93267070
-10.69845532 -15.02175494 11.07703049
9.73296190 -4.80405791 2.50000000
-5.62003712 -2.74889249 0.82043323
-1.56767453 -9.33075350 3.17296028
2.50049634 -7.04274436 0.87792405
12.25380332 1.70564399 3.82963687
10.74768339 6.13487862 5.30215867
4.58398345 -8.73054665 2.01014658
5.34280011 -6.19973037 1.34368794
13.25780180 4.99289238 6.36442384
-9.12074680 0.76595174 2.97594125
-7.99940631 4.02804725 2.40412057
-2.18817301 -10.70498341 3.90185757
-5.04171938 4.65747880 1.67322223
4.06434337 9.51280609 2.42373659
4.42966598 1.31771564 1.48761365
-9.28270534 -6.48261853 3.38425994
-0.26608183 -12.23292449 4.47235698
-0.50099120 -11.97839194 4.29628314
-3.33993257 -7.63064343 3.05013323
-8.60188094 -10.30146577 5.23896614
-6.10521694 2.28947422 0.88325670
-11.07120629 -17.44023674 13.54059497
8.94537478 -6.38517541 3.97562769
10.19686530 3.04712523 3.12002511
12.93933256 -3.97701588 5.51518851
12.64317957 1.88384711 4.21563714
6.50993324 1.78488975 1.75397989
2.06831923 4.37747850 0.57127841
0.05436390 5.04405608 0.75396808
4.21654448 -9.81407090 2.71953145
-1.58392618 -13.52111812 5.18027788
-2.65738654 9.24606042 3.51833524
-2.71585274 -9.28748599 3.55239122
16.35572243 0.57920194 8.28472259
-8.68126029 1.40546177 2.59508796
10.51831017 -5.61891482 4.81429432
-3.60085394 -0.89695377 -0.51524901
-7.86013932 7.96344037 3.75348447
-0.75818362 -12.14581498 4.39944097
2.43335355 3.84515822 0.64825140
-0.56835440 11.48371320 3.99269729
-10.98732581 -14.78730106 11.06790340
7.67769595 -9.79976042 4.59929797
-6.80919923 6.75589312 3.12754765
-10.52973881 -12.59257829 8.36329968
-10.80884898 5.56334430 3.87011408
17.38443164 1.54893917 9.64446518
-8.38918919 -5.54731859 2.90628073
-2.57201701 13.12787936 4.92915195
-6.38928128 -2.52797176 1.12288018
-9.84030451 -9.23526883 4.85628829
0.63972543 -8.29059930 1.82504214
-10.68738468 8.18749984 4.53986808
7.67894178 -2.98499122 2.50000000
16.62562300 -1.46867623 8.65575966
-0.32095211 -5.36200465 0.93514258
11.58622947 5.64530304 5.61585252
5.64395877 7.30680823 1.80247227
10.75233018 4.59912157 4.34639153
17.15861799 -1.20139036 9.36199317
-2.13750122 3.96736077 0.62145016
-6.54874524 -15.92571281 8.39862549
